	A21	A22	AC1	AC2	AC3	A23
NM_001278486	1048	833	1421	2206	2033	1076
NM_001286561	9514	10629	15659	19627	17015	10539
NM_014042	1048	833	1421	2206	2033	1076
NR_026886	4180	4215	5637	6877	5977	4740
NR_104476	9510	10590	15658	19620	16847	10487
NM_173042	1404	1665	2655	3493	2502	1403
NM_016729	29	3	7	129	72	27
NM_016725	29	5	7	129	72	27
NM_016724	29	5	7	129	72	27
NM_000802	29	5	7	129	72	27
NM_000803	40	114	2	6	51	34
NM_005169	1977	1774	2912	3510	2505	2389
NM_001113534	40	114	2	6	51	34
NM_001567	4802	5310	4108	4745	6301	4346
NM_001113536	40	114	2	6	51	34
NM_001113535	40	114	2	6	51	34
NM_000804	0	3	1	2	4	2
NR_126364	1	5	0	2	0	0
NR_029603	0	0	0	0	0	0
NM_001135190	1160	1422	2479	2530	3140	907
NM_001040118	1896	1888	3570	5096	4975	1368
NM_015242	1160	1422	2479	2530	3140	907
NM_033388	3643	3082	5465	10265	6612	3504
NR_039841	0	0	0	0	0	0
NM_176072	79	22	126	256	34	223
NM_176071	79	22	126	256	33	189
NM_002564	79	22	126	256	34	223
NM_152222	2336	2290	3311	6087	2926	2460
NM_032871	1832	2031	2805	4367	2442	1898
NM_014786	5120	4341	6634	13387	8357	4586
NM_021200	423	485	1271	930	1226	504
NM_001130036	378	482	1024	519	1062	471
NM_001130035	384	483	1271	930	1224	477
NM_001130034	384	483	1271	930	1224	477
NM_001130033	423	485	1271	930	1226	504
NM_001267803	2041	1779	1565	2204	2990	1544
NM_001267804	2041	1779	1565	2204	2990	1544
NM_016565	2392	2076	2723	2941	4114	1670
NM_001267806	2043	1849	1565	2306	2996	1567
NM_001267805	2041	1779	1565	2204	2990	1544
NM_025155	2041	1779	1565	2204	2990	1544
NM_003355	307	677	103	188	313	524
NM_003356	709	450	383	358	72	256
NM_022803	605	328	316	353	56	210
NM_182904	158	124	346	457	362	88
NM_001288748	158	124	346	457	362	88
NR_120556	72	50	372	307	278	75
NR_110031	158	124	346	457	362	88
NM_005472	0	1	22	0	0	2
NM_001144869	1738	1573	3117	5789	4130	1222
NM_015424	186	131	204	167	86	149
NM_001278473	186	131	204	167	86	149
NR_039845	0	0	0	0	0	0
NM_001304390	174	129	204	167	84	141
NM_001304415	174	129	204	167	84	141
NM_001304391	174	129	204	167	84	141
NM_001304416	174	129	204	167	84	141
NM_001304417	156	63	202	157	33	111
NM_001098638	5881	8349	8730	7339	12411	7222
NM_014752	3932	3753	3946	3692	4953	3521
NM_001005285	0	0	0	0	0	0
NM_001195528	66	10	346	630	497	10
NM_001145211	26	10	18	29	35	1
NM_001145212	26	13	88	34	39	5
NM_007256	26	13	88	34	39	5
NR_029891	0	0	0	0	0	0
NR_000005	210	24	42	128	106	51
NR_000025	43	218	67	7	101	113
NM_001256802	14851	16602	18579	23504	25183	14609
NM_001005	10214	11954	14102	14963	19314	9435
NM_001260506	10214	11954	14102	14963	19314	9435
