	A21	A22	AC1	AC2	AC3	A23
NM_203399	2019	2522	3872	4282	5634	2145
NM_203401	1937	2272	3529	3326	5379	1973
NR_037481	10	16	15	1	1	1
NM_005563	1950	2401	3709	3977	5613	2042
NM_032588	19	15	70	19	22	42
NM_152835	1311	1134	1653	1922	1774	1392
NM_032513	192	390	430	812	649	260
NM_004455	2035	2269	3592	7809	5189	2475
NM_001004434	192	390	430	812	649	260
NM_001243533	1311	1134	1653	1922	1774	1392
NM_001243532	1879	1523	2724	4432	3069	1960
NM_024869	1548	1697	1885	2409	2422	1963
NM_001297647	316	165	74	84	37	84
NM_001297648	316	165	74	84	37	84
NM_006314	316	165	74	84	37	84
NM_015871	1553	1363	2987	4274	4299	1421
NM_022778	5693	5732	7381	11211	9475	4666
NR_110698	90	97	9	20	153	38
NM_001281518	2509	1653	2379	3178	2525	1725
NM_001281517	5693	5732	7381	11211	9475	4666
NM_198137	3	2	8	10	4	5
NM_001114759	3	58	46	33	63	59
NM_001803	1	32	5	129	4	1
NM_001077262	3042	2155	5945	6316	4772	2600
NM_145345	3229	2532	6428	7206	5000	2776
NM_001039775	369	374	676	1269	794	258
NM_183008	3042	2155	5945	6316	4772	2600
NM_173574	3	58	46	33	63	59
NM_005517	2866	3674	2618	4989	4110	2915
NM_205861	5203	4953	7368	8946	8147	5919
NR_125952	686	570	1121	1109	1176	742
NR_125953	686	570	1121	1109	1176	742
NM_001243565	5203	4953	7368	8946	8147	5919
NM_001243564	5203	4953	7368	8946	8147	5919
NM_024887	5203	4953	7368	8946	8147	5919
NR_031740	34	28	1	44	4	21
NM_001006665	932	920	948	1627	538	978
NM_006015	18123	16568	23170	30197	28680	15674
NM_017837	2985	3618	5630	9504	7448	2706
NM_001202554	2439	2995	4875	8018	6147	2341
NM_139135	18123	16568	23170	30197	28680	15674
NM_006142	110	177	495	1615	916	166
NM_022078	1690	1960	2515	4503	3823	1758
NM_032283	1549	1323	2354	2371	1648	1553
NM_021969	1	56	1	0	32	27
NM_018066	2396	1567	2759	4705	2811	1586
NM_152365	936	680	859	1611	975	804
NM_052943	378	521	1181	2983	1692	549
NM_001013642	2157	1522	2608	4991	3443	1303
NM_003047	1600	1697	2765	3742	2483	1731
NR_046474	1600	1697	2765	3742	2483	1731
NM_015023	447	618	1307	1718	417	596
NM_001276252	447	618	1307	1718	417	596
NR_033926	247	245	589	569	691	284
NM_004672	2343	1898	4244	6229	5115	2362
NM_001193308	2919	2366	2914	6511	3144	2763
NM_173452	79	28	82	1055	199	123
NM_003665	79	28	82	1055	199	123
NM_207397	1	32	4	4	94	6
NM_032872	2919	2366	2914	6511	3144	2763
NM_005281	483	482	897	1955	2029	542
NM_001297609	2343	1898	4244	6229	5115	2362
NM_001042747	20	3	7	16	8	5
NM_002038	305	105	711	1258	499	132
NM_005248	20	16	9	27	11	7
NM_022872	305	105	711	1258	499	132
NM_022873	305	105	711	1258	499	132
NM_001042729	20	3	7	16	8	5
NR_002997	2	24	0	2	4	22
NM_014110	3528	3642	3940	6614	5068	3575
NM_002713	3501	3642	3939	6527	5066	3575
NM_138558	3501	3642	3939	6527	5066	3575
NM_001143913	735	785	1479	2726	1470	969
NM_152660	735	785	1479	2726	1470	969
NM_177424	1015	1268	1768	3026	2101	1364
NM_001143912	735	785	1479	2726	1470	969
NM_001143915	735	785	1479	2726	1470	969
NM_001143914	735	785	1479	2726	1470	969
NM_001039477	1184	1142	1243	3052	1577	932
NM_002946	3818	4250	4042	6109	6508	4129
NM_018053	662	591	835	2448	1377	684
NM_004848	1184	1142	1243	3052	1577	932
NM_001009568	203	106	476	887	962	275
NM_001105556	1184	1142	1243	3052	1577	932
NM_001286115	1184	1142	1243	3052	1577	932
NM_001286113	1184	1142	1243	3052	1577	932
NM_014474	241	267	687	986	1115	281
NM_001286076	3818	4250	4042	6109	6508	4129
NM_001297558	3818	4250	4042	6109	6508	4129
NM_001304579	241	267	687	986	1115	281
NR_104214	3296	3797	4397	6398	5754	3092
NM_178190	1957	1660	3919	4726	4125	1640
NM_000952	145	61	86	52	46	114
NM_001164723	145	61	86	52	46	114
NM_001164722	254	162	306	157	186	161
NM_001164721	254	162	306	157	186	161
NM_178191	1957	1660	3919	4726	4125	1640
NM_016311	1957	1660	3919	4726	4125	1640
NM_014280	3196	3762	3601	4258	4176	3159
NM_017638	659	886	1298	1562	1974	1126
NM_001127350	659	886	1298	1562	1974	1126
NM_031459	2568	2989	11104	23309	15341	3482
NM_023923	2823	2044	2270	3585	3529	2182
NR_004404	669	956	865	555	1705	863
NM_017846	4201	4047	4747	6661	5706	4594
NR_002987	48	0	2	43	4	21
NM_001269	5014	4199	6748	8177	6030	4388
NM_001048194	5014	4199	6748	8177	6030	4388
NM_001048195	5014	4199	6748	8177	6030	4388
NR_003109	4201	4047	4747	6661	5706	4594
NR_002976	460	375	176	28	399	223
NR_003035	210	265	320	74	613	256
NR_003077	180	227	292	350	174	129
NM_152304	3	3	6	6	2	25
NM_001193532	3	3	6	6	2	25
NR_024127	4866	5722	6001	7855	8571	4598
NM_001173128	6243	7531	8614	7294	9103	6518
NM_001172828	6191	7476	8572	7166	8975	6390
NM_016258	6243	7531	8614	7294	9103	6518
NM_024482	3461	3399	5604	10338	6892	3424
NR_004407	700	316	748	1089	1907	812
NM_006582	3461	3399	5604	10338	6892	3424
NM_000911	77	51	76	103	175	80
NM_001171868	1216	1623	2989	4025	3169	1010
NM_001003682	1532	2006	4620	6586	5485	1390
NM_001024732	2991	3453	6621	8735	7283	3629
NM_016011	2991	3453	6621	8735	7283	3629
NR_110758	92	75	467	134	333	38
NR_110790	0	0	1	6	3	28
NM_006762	28	5	3	124	95	3
NR_039616	0	0	0	0	0	0
NR_004054	30	81	46	4	56	19
NR_033295	32	78	50	3	61	14
NR_003066	36	49	0	1	4	1
NM_014654	655	610	919	1892	1564	470
NM_024522	176	257	740	1080	616	186
NM_004102	1239	1434	1218	1774	1179	1258
NM_016505	3957	3420	3690	4300	3958	3477
NM_004814	5336	4872	5229	5583	6498	5926
NM_001282574	3957	3420	3690	4300	3958	3477
NM_001282573	3957	3420	3690	4300	3958	3477
NM_001282572	3957	3420	3690	4300	3958	3477
NM_001282571	3957	3420	3690	4300	3958	3477
NM_001282569	3957	3420	3690	4300	3958	3477
NM_001282570	3957	3420	3690	4300	3958	3477
NM_001282568	3957	3420	3690	4300	3958	3477
NM_001282567	3957	3420	3690	4300	3958	3477
NM_001282566	3957	3420	3690	4300	3958	3477
NM_018565	130	151	335	612	162	86
NM_178865	135	259	671	1110	324	112
NR_034112	0	0	0	0	0	0
NM_001199038	195	260	756	1112	326	113
NM_001199037	195	260	756	1112	326	113
NM_001199039	130	151	335	612	162	86
NM_001204415	169	83	118	210	77	15
NM_001204414	171	85	242	216	168	23
NR_027085	2	2	1	1	2	5
NM_022164	171	85	242	216	168	23
NR_033688	1762	2396	3908	3663	4738	2059
NR_033686	1907	2419	4125	4081	4938	2173
NM_001525	618	1053	969	1370	1119	798
NM_012392	1907	2419	4125	4081	4938	2173
NM_001294336	1102	1311	1577	2197	2889	1585
NM_001294335	1102	1311	1577	2197	2889	1585
NR_036216	0	0	0	0	0	0
NM_001856	230	186	437	869	507	215
NM_144569	1205	1179	2848	3595	3264	1236
NM_001281988	1205	1179	2848	3595	3264	1236
NM_001281987	1205	1179	2848	3595	3264	1236
NR_049850	0	0	0	0	0	0
NM_018056	1106	1814	2091	3081	2822	1254
NM_175852	4654	5934	8316	13262	10865	5504
NM_001099434	843	980	1112	2239	1105	1231
NM_003757	2543	2678	3613	4197	3802	2587
NM_001160042	1121	1092	1981	2709	2161	1134
NM_024296	1003	952	1776	3303	1918	897
NM_032648	284	121	12	4	22	153
NM_005356	277	262	60	330	69	274
NM_018134	1121	1092	1981	2709	2161	1134
NM_001042771	2	10	3	60	7	6
NM_001301011	1003	952	1776	3303	1918	897
NM_019118	795	633	609	1508	1250	597
NR_026850	2760	2462	1488	2482	1806	3125
NM_018045	2962	3091	3776	4501	4266	2522
NM_001167676	79	143	185	1073	133	152
NM_001143890	2962	3091	3776	4501	4266	2522
NR_052852	3439	3316	3819	6757	5094	3717
NM_023009	3439	3316	3819	6757	5094	3717
NR_125352	2962	3091	3776	4501	4266	2522
NM_001143889	2962	3091	3776	4501	4266	2522
NM_001143888	2962	3091	3776	4501	4266	2522
NM_001300958	2962	3091	3776	4501	4266	2522
NM_052841	791	496	710	1428	753	701
NM_001145720	187	83	97	457	154	148
NM_001135256	8023	7397	9431	12605	10397	7633
NM_001135255	8062	7410	9434	12821	10409	7660
NM_005610	8062	7410	9434	12821	10409	7660
NM_178547	1601	1813	2505	3521	2607	1576
NM_020888	3096	5458	8057	14389	9117	4050
NM_003680	4870	5352	9732	17952	9859	5948
NM_001198973	2616	5138	7205	12900	8017	3634
NM_001198972	2616	5138	7205	12900	8017	3634
NM_153756	988	1243	1922	2862	2525	1201
NM_001171940	988	1243	1922	2862	2525	1201
NM_033504	274	392	553	1452	1423	291
NM_001171941	1042	1332	1928	3011	2640	1364
NM_002143	238	234	379	419	612	252
NM_001625	4462	4894	5453	7132	6299	4427
NM_013411	6353	7273	7545	8036	8372	6693
NR_037592	4462	4894	5453	7132	6299	4427
NR_037591	6353	7273	7545	8036	8372	6693
NM_001199199	6353	7273	7545	8036	8372	6693
NM_018207	948	1473	2353	2633	1633	1007
NR_037400	108	75	89	98	27	52
NM_152493	4511	5233	9049	12849	10898	4453
NM_001080438	521	667	740	1401	530	744
NM_004427	5855	6068	6833	8503	8153	5363
NM_145205	1	19	0	1	0	0
NR_033264	0	0	0	0	0	0
NM_032884	22	6	3	8	2	1
NM_001134734	22	6	3	8	2	1
NM_001005752	70	77	98	156	100	5
NM_005268	44	22	51	243	88	21
NM_153212	0	1	69	2	93	1
NM_024009	118	78	128	213	102	34
NR_030278	0	0	0	0	0	0
NM_001164825	1923	1902	4195	8858	5490	2120
NM_001164824	1237	1237	1770	1430	2225	1290
NM_002060	0	0	0	65	1	31
NM_138428	1923	1902	4195	8858	5490	2120
NM_007167	1992	2041	3236	4792	3403	2280
NM_001195156	1041	612	1606	3678	2031	785
NR_037869	497	452	710	1055	782	314
NM_024772	2824	2515	3287	3789	4122	2947
NM_001289089	2824	2515	3287	3789	4122	2947
NM_001289088	3066	2655	3800	4859	4744	3233
NM_001289091	2824	2515	3287	3789	4122	2947
NM_001289090	2824	2515	3287	3789	4122	2947
NM_014284	2564	2783	3395	3658	3495	2638
NM_001014841	2564	2783	3395	3658	3495	2638
NM_001014839	2564	2783	3395	3658	3495	2638
NM_002794	5986	5551	6451	5298	6720	5736
NM_001199779	5508	5185	5170	3857	5916	5111
NM_001199780	3686	3442	3859	1981	3721	3588
NM_152374	951	1178	1891	4502	1927	929
NM_001190481	4915	5920	5642	6704	6570	4580
NM_022111	4915	5920	5642	6704	6570	4580
NM_012199	2472	2686	3256	3471	2569	2372
NM_014466	312	59	155	93	288	48
NM_017825	1329	1415	2018	3305	2702	1087
NM_001286366	4736	4555	4445	7199	6280	5484
NM_001286365	4736	4555	4445	7199	6280	5484
NM_001270897	1612	1307	2842	3497	3220	1355
NM_001270896	1612	1307	2842	3497	3220	1355
NM_001270895	3082	3076	5827	8757	8144	2984
NM_001270894	1612	1307	2842	3497	3220	1355
NM_018067	4736	4555	4445	7199	6280	5484
NR_073097	1612	1307	2842	3497	3220	1355
NM_014408	1612	1307	2842	3497	3220	1355
NR_073098	1612	1307	2842	3497	3220	1355
NM_018166	2095	2683	1233	1576	1100	2192
NM_001162530	6187	6287	4286	7991	4687	6249
NM_024676	4882	4907	2457	3491	2844	4955
NM_001304762	1748	2253	991	1032	963	1718
NR_130899	1748	2253	991	1032	963	1718
NM_000760	229	65	176	310	41	223
NM_031280	1876	1394	1752	2081	1546	1628
NM_172313	229	65	176	310	41	223
NM_206837	653	838	1261	971	1488	721
NM_156039	229	65	176	310	41	223
NM_145047	1079	1114	1603	1492	1965	1054
NM_032881	828	875	1924	3772	2890	1064
NR_036217	0	0	0	0	0	0
NM_001270876	1255	1499	1580	2138	1674	1205
NM_001270875	1255	1499	1580	2138	1674	1205
NM_025079	1823	1309	3108	5602	3711	1609
NM_022756	1255	1499	1580	2138	1674	1205
NR_049844	0	0	0	0	0	0
NR_106790	24	0	0	0	3	15
NR_038842	102	92	381	593	261	115
NR_073092	1255	1499	1580	2138	1674	1205
NR_073091	1255	1499	1580	2138	1674	1205
NR_073090	1255	1499	1580	2138	1674	1205
NM_003462	1655	1639	1940	2837	1995	1624
NM_001038633	539	256	396	161	270	460
NM_001242910	539	256	396	161	270	460
NM_001242909	539	256	396	161	270	460
NM_001242908	539	256	396	161	270	460
NM_013285	3747	4321	5869	5762	5061	3923
NM_001099439	195	259	530	1707	1139	84
NM_001031740	1265	940	836	2222	1710	887
NM_152496	994	813	802	1777	1247	778
NM_001303031	1779	1849	2751	4539	2107	1316
NM_173641	0	0	0	4	1	0
NM_001303030	1779	1849	2751	4539	2107	1316
NM_001113482	1265	940	836	2222	1710	887
NM_017850	1779	1849	2751	4539	2107	1316
NM_001256875	2504	3107	3917	3575	4165	2514
NM_018101	2504	3107	3917	3575	4165	2514
NM_005955	3319	4203	5543	5721	7008	3624
NM_198446	1333	1943	2072	4557	3613	1849
NM_001142726	1333	1943	2072	4557	3613	1849
NM_001297434	1600	1458	3471	6122	3883	1173
NM_016037	1798	2206	3568	3535	3445	2047
NM_002699	1	68	124	25	157	39
NM_004468	5188	4274	4848	7673	6164	3988
NM_006802	5233	6400	5433	7187	6280	5319
NM_001243878	5188	4274	4848	7673	6164	3988
NR_037432	0	0	0	0	0	0
NR_038928	0	0	0	0	0	0
NM_012333	1573	1860	1767	2972	2402	1613
NM_017821	220	354	301	358	474	281
NM_030772	632	515	386	268	749	603
NM_001304746	176	333	215	275	409	271
NR_037637	2850	3059	2624	4396	4054	2866
NR_037636	2850	3059	2624	4396	4054	2866
NR_037635	2850	3059	2624	4396	4054	2866
NR_037634	2850	3059	2624	4396	4054	2866
NR_037633	2850	3059	2624	4396	4054	2866
NR_037632	1573	1860	1767	2972	2402	1613
NM_001136275	3610	3978	5312	4582	4244	3220
NM_001184979	856	1087	2064	3551	2891	1163
NM_024595	3610	3978	5312	4582	4244	3220
NM_004552	856	1087	2064	3551	2891	1163
NM_015038	1312	1270	1671	1555	2126	1270
NR_125979	3938	4070	3297	2137	4399	3167
NM_001135654	7971	8701	7389	9522	9719	6719
NM_001135653	7971	8701	7389	9522	9719	6719
NM_003819	7971	8701	7389	9522	9719	6719
NM_014571	914	834	1612	2856	2468	834
NR_003929	1460	1721	1809	2297	1567	1675
NR_002983	37	1	1	2	3	26
NM_203456	3061	3402	4429	5591	5058	3074
NM_022120	29	10	28	1	4	104
NM_001282397	154	191	352	1138	256	185
NM_001282396	154	191	352	1138	256	185
NM_016257	154	216	387	1140	257	213
NM_032526	31	86	96	15	222	58
NM_001195007	3061	3402	4429	5591	5058	3074
NM_006112	2043	2199	3318	3901	4002	1934
NR_036544	2043	2199	3318	3901	4002	1934
NR_036543	2043	2199	3318	3901	4002	1934
NM_005376	516	191	1774	4592	1991	278
NM_001033082	834	672	2474	5298	3256	985
NM_001033081	834	672	2474	5298	3256	985
NM_017646	5133	4459	6563	7188	7278	4690
NM_001287809	614	616	2299	4497	2599	443
NM_032793	614	616	2299	4497	2599	443
NM_001136493	614	616	2299	4497	2599	443
NR_109896	614	616	2299	4497	2599	443
NM_001287808	614	616	2299	4497	2599	443
NM_006367	5077	5826	9022	12988	10451	5262
NM_001105530	5077	5826	9022	12988	10451	5262
NM_001142604	2823	3502	4733	6780	6450	3504
NM_000310	2823	3502	4733	6780	6450	3504
NM_005857	2634	3310	4199	4476	4209	2541
NM_001008740	6	51	236	116	301	182
NM_001852	308	164	71	222	116	154
NM_001198980	1315	1207	1131	894	1289	1166
NM_001198979	1441	1390	1176	969	1305	1259
NM_022733	2311	2537	2458	2727	2637	2329
NM_001198978	2195	2395	2184	2044	2254	2185
NM_198494	774	1112	509	385	280	875
NM_152373	990	854	1848	2198	1704	820
NM_022774	474	881	49	67	110	771
NM_023070	936	884	3230	3053	3497	1023
NM_014747	155	474	1189	1610	1412	286
NM_001142589	10560	10765	11724	12873	16908	9863
NM_001142588	10560	10765	11724	12873	16908	9863
NM_001142587	10560	10765	11724	12873	16908	9863
NM_014223	10560	10765	11724	12873	16908	9863
NR_029833	33	0	0	0	4	9
NM_001142590	9449	9604	9635	9669	14104	8700
NR_029846	177	60	2	42	36	87
NM_133467	636	454	1006	1561	2387	684
NM_001905	7980	9345	10582	13454	12463	8458
NM_001300859	3097	3250	3182	5544	3841	3286
NM_001168247	3097	3250	3182	5544	3841	3286
NM_144990	3097	3250	3182	5544	3841	3286
NR_125440	7980	9345	10582	13454	12463	8458
NM_001301237	4989	5002	5665	4561	5490	4941
NR_037868	8355	8985	9880	14607	13145	8883
NM_001291281	511	412	662	931	690	370
NR_126098	51	21	0	1	0	1
NM_001302269	51	21	0	1	0	1
NM_001956	51	21	0	1	0	1
NM_007102	0	0	0	0	0	0
NM_033553	0	0	0	0	0	0
NM_032257	472	369	353	846	1362	372
NM_001287511	2219	2037	3482	3465	4295	2377
NM_001287509	1192	860	2105	2078	2495	1412
NM_001287510	1192	860	2105	2078	2495	1412
NM_001287508	1192	860	2105	2078	2495	1412
NM_001287507	1204	914	2231	2207	2616	1446
NM_001287506	1204	914	2231	2207	2616	1446
NM_001146192	472	369	353	846	1362	372
NM_001077447	1192	860	2105	2078	2495	1412
NM_024664	1192	860	2105	2078	2495	1412
NM_001080850	184	425	88	313	338	298
NM_004559	10121	11565	9554	9135	13612	10228
NM_001185117	38	34	6	8	1	13
NM_006347	2425	2877	3893	3669	3361	2378
NM_022356	2999	2975	4183	7071	4986	2883
NM_001123395	38	34	6	8	1	13
NM_001146289	2999	2975	4183	7071	4986	2883
NM_024097	702	611	1230	2517	1958	669
NM_001243246	2999	2975	4183	7071	4986	2883
NR_040733	702	611	1230	2517	1958	669
NM_148960	38	34	6	8	1	13
NM_015911	1528	1407	1564	2411	2720	1372
NR_104171	858	934	752	650	509	663
NM_018538	1268	1405	1107	771	1536	1280
NM_001017922	2582	3009	3441	3721	4039	2646
NM_199342	1004	1089	1644	3540	2848	1074
NM_001242739	1528	1407	1564	2411	2720	1372
NM_006516	5144	5358	7526	10915	7563	5169
NR_033967	326	424	1005	965	1500	468
NM_006824	1983	2198	1541	1698	2574	1770
NM_001101376	56	25	37	72	154	67
NM_001159936	1983	2198	1541	1698	2574	1770
NR_106791	43	2	111	375	15	1
NM_001164829	16	4	0	1	2	12
NM_182517	16	4	0	1	2	12
NM_144626	52	1	29	197	14	4
NM_001255	2967	3228	3891	3957	5153	2611
NM_201542	1081	1265	1737	1825	3035	1010
NM_001256402	3130	3695	4218	7934	6080	2980
NM_001256401	3130	3695	4218	7934	6080	2980
NM_052877	1081	1265	1737	1825	3035	1010
NM_022821	3130	3695	4218	7934	6080	2980
NM_001001653	1081	1265	1737	1825	3035	1010
NR_046117	3130	3695	4218	7934	6080	2980
NM_001256399	2950	3535	3860	6582	5682	2774
NM_005373	724	806	1050	1977	1519	579
NR_106792	77	179	73	6	102	33
NM_001190880	508	706	390	455	527	449
NM_001243526	508	706	390	455	527	449
NR_106793	0	0	0	0	1	35
NM_031207	508	706	390	455	527	449
NM_014663	5641	6432	14087	18119	14975	6238
NR_125986	1137	1186	1020	1028	1270	941
NM_001136215	491	255	423	847	236	517
NM_057091	491	255	423	847	236	517
NM_057090	491	255	423	847	236	517
NR_106727	0	0	0	0	0	0
NM_001039457	1795	2098	2400	6184	3688	1776
NM_152499	1025	1219	2592	5240	2636	1117
NM_001005417	1503	1428	2023	2477	2378	970
NM_001039589	1825	1454	1544	2269	2332	996
NM_001261380	812	312	2542	3483	2087	631
NR_048548	812	312	2542	3483	2087	631
NR_048549	2253	1664	7151	11158	7995	2123
NM_001384	1825	1454	1544	2269	2332	996
NM_004047	1795	2098	2400	6184	3688	1776
NM_030587	1767	1497	2155	3040	2611	1214
NM_003780	2043	1756	2666	3921	3196	1454
NM_201649	812	312	2542	3483	2087	631
NM_001024845	2253	1664	7151	11158	7995	2123
NM_006934	812	312	2542	3483	2087	631
NM_001294333	1795	2098	2400	6184	3688	1776
NM_001034023	1761	1874	2050	3520	2582	1719
NM_173484	419	353	170	46	440	141
NM_001034024	1761	1874	2050	3520	2582	1719
NM_019100	1761	1874	2050	3520	2582	1719
NR_046817	41	34	2	3	6	55
NR_049849	0	0	0	0	0	0
NM_001145636	12065	11992	16221	17549	20854	13560
NM_001300748	411	786	1061	2914	1288	494
NM_001300746	411	786	1061	2914	1288	494
NM_001300747	411	786	1061	2914	1288	494
NM_024587	411	786	1061	2914	1288	494
NM_153274	163	303	487	472	299	285
NR_001457	70	132	32	50	99	145
NR_001456	61	21	58	156	16	20
NM_003738	501	647	761	1237	1063	639
NR_000024	457	708	725	1097	778	781
NM_001136537	160	160	205	343	311	234
NM_001166292	2077	2282	3007	3298	4465	2848
NR_000015	1176	806	1307	2501	1705	631
NM_004073	538	717	1428	3894	2187	767
NM_001012	7644	7540	8697	13455	13201	6752
NM_001013632	301	152	81	1025	436	277
NR_036510	1521	2405	3300	4535	4819	2005
NM_000374	1521	2405	3300	4535	4819	2005
NM_024602	657	293	1392	1612	1348	533
NM_001048172	2195	1709	3266	5603	3710	1841
NM_012222	2727	2249	4869	8044	6194	2591
NM_001128425	2727	2249	4869	8044	6194	2591
NM_025077	2929	2299	5311	6634	6513	2819
NM_001048171	2727	2249	4869	8044	6194	2591
NM_001048174	2062	1706	3034	5318	3555	1796
NM_001048173	2195	1709	3266	5603	3710	1841
NM_032756	300	496	378	520	609	297
NR_024270	1127	1047	2469	3870	3370	899
NM_001293190	2727	2249	4869	8044	6194	2591
NM_001293196	2195	1709	3266	5603	3710	1841
NM_001293195	2062	1706	3034	5318	3555	1796
NM_001293192	2727	2249	4869	8044	6194	2591
NM_001293191	2062	1706	3034	5318	3555	1796
NM_015506	3456	2622	3927	4335	5241	3885
NM_001202431	5387	5120	7717	13493	10456	4261
NM_002574	4730	4664	6487	12207	9272	3854
NR_033298	102	27	361	690	316	144
NR_033297	102	27	361	690	316	144
NR_033296	102	27	361	690	316	144
NM_181696	4730	4664	6487	12207	9272	3854
NM_181697	4730	4664	6487	12207	9272	3854
NM_153326	1628	1642	2434	4869	2510	1645
NR_026768	58	84	74	162	94	136
NM_002482	10133	11228	11833	16946	14633	10239
NM_001114938	3308	3405	4641	5768	4158	3573
NM_001202414	1628	1642	2434	4869	2510	1645
NM_001202413	1628	1642	2434	4869	2510	1645
NM_001190182	3308	3405	4641	5768	4158	3573
NM_001195193	10133	11228	11833	16946	14633	10239
NM_152298	10133	11228	11833	16946	14633	10239
NM_006066	1628	1642	2434	4869	2510	1645
NM_001145349	2591	2241	3496	5420	4146	2447
NM_016486	1978	2016	3643	4210	3925	1878
NM_005897	1506	1297	2458	3666	3026	1331
NR_125987	987	1104	1993	2183	2843	902
NM_005727	660	449	640	773	747	283
NM_006004	4004	4255	6673	7647	6151	3670
NM_001142548	5277	5923	6092	6953	6669	5433
NM_003579	5277	5923	6092	6953	6669	5433
NM_006369	9755	9820	9272	15626	9197	9564
NM_001013615	631	727	1409	2570	1074	721
NM_001297565	4004	4255	6673	7647	6151	3670
NM_001297566	4004	4255	6673	7647	6151	3670
NR_045791	2029	2166	4738	7173	5398	2507
NR_045789	2029	2166	4738	7173	5398	2507
NR_045790	2029	2166	4738	7173	5398	2507
NM_001441	161	111	476	395	669	119
NM_001256128	1425	1318	2052	1768	2196	1434
NM_001256127	1425	1318	2052	1768	2196	1434
NM_199044	2029	2166	4738	7173	5398	2507
NR_121680	221	97	244	269	150	52
NR_045483	226	158	321	287	715	122
NR_038403	437	550	595	420	575	510
NM_001097611	2	1	2	1	2	1
NM_147192	2	2	98	56	272	13
NM_172225	2	2	98	56	272	13
NM_001145474	403	272	268	488	386	284
NM_201403	387	320	1239	1536	1084	376
NR_038828	1557	2305	2511	2109	2498	1492
NR_038827	1557	2305	2511	2109	2498	1492
NM_001243728	1169	2244	1938	1643	3187	1802
NM_001256418	1169	2244	1938	1643	3187	1802
NM_014774	3672	4811	4721	6445	5380	3825
NM_022745	1677	2735	2842	3500	4797	2277
NM_001042546	1677	2735	2842	3500	4797	2277
NM_001300863	403	272	268	488	386	284
NM_001300864	403	272	268	488	386	284
NM_145279	272	168	707	831	503	277
NM_001099772	3	0	3	4	4	5
NM_000779	3	0	3	4	4	5
NM_000778	74	14	56	106	77	27
NM_178033	64	110	264	23	209	56
NM_003189	74	17	5	152	125	43
NM_001290406	74	17	5	152	125	43
NM_001290405	74	17	5	152	125	43
NM_005764	6	0	1	0	0	0
NM_001010969	156	128	384	383	457	179
NM_001287347	74	17	5	152	125	43
NR_047498	86	87	191	948	342	135
NM_001290404	74	17	5	152	125	43
NM_001290403	74	17	5	152	125	43
NR_046395	1209	956	1943	3964	2613	1058
NM_001282939	4595	5107	6075	6863	6101	4458
NM_001282938	4595	5107	6075	6863	6101	4458
NM_001282936	4595	5107	6075	6863	6101	4458
NM_001048166	4595	5107	6075	6863	6101	4458
NM_003035	4595	5107	6075	6863	6101	4458
NM_001282937	4595	5107	6075	6863	6101	4458
NM_012186	0	0	0	47	3	6
NM_004474	202	110	1822	5502	2996	51
NR_026878	52	8	341	195	290	16
NR_126355	1121	1662	4048	6629	4909	1157
NM_001011547	876	711	641	1195	834	548
NM_001135181	876	711	641	1195	834	548
NM_001302082	0	6	3	11	1	7
NM_024603	0	6	3	11	1	7
NR_125988	19	24	30	49	97	24
NR_046839	24	45	142	56	28	13
NM_032110	0	0	0	0	0	0
NM_001262	1129	1715	1198	1287	1572	1189
NM_078626	642	941	564	526	852	620
NM_001136508	34	63	21	62	44	32
NR_039617	0	0	0	0	0	0
NR_106754	0	0	0	0	0	0
NM_014372	2182	1960	4229	5876	4295	2270
NM_001297666	925	563	1788	2119	2183	815
NM_001297667	925	563	1788	2119	2183	815
NM_001159969	2055	2407	2813	3416	3735	2129
NR_123731	99	89	10	490	243	104
NM_148907	5744	5895	5833	4827	8418	6083
NM_148905	5744	5895	5833	4827	8418	6083
NM_148904	5744	5895	5833	4827	8418	6083
NR_031580	0	0	0	0	0	0
NM_152265	2788	3111	5208	7411	7692	2858
NM_001136497	2788	3111	5208	7411	7692	2858
NR_126385	146	86	258	241	358	70
NR_046406	3769	4333	9351	14665	12112	3781
NM_138417	958	1789	3366	7262	3432	1441
NR_046405	3769	4333	9351	14665	12112	3781
NM_001243767	2788	3111	5208	7411	7692	2858
NM_015913	4513	5091	10661	16523	13990	4681
NM_001190818	3495	3494	3595	3774	4077	4075
NM_001190819	3495	3494	3595	3774	4077	4075
NM_004153	3495	3494	3595	3774	4077	4075
NM_032864	2579	2723	2330	3352	4244	2540
NM_015696	1	5	3	7	3	0
NM_023077	1376	1692	2584	3698	3819	1603
NM_001042693	9	24	21	14	20	7
NR_039971	46	1	0	2	71	2
NR_039970	0	0	0	1	0	0
NR_039972	1	2	0	44	1	4
NM_001198962	1504	1177	4603	5213	4435	1208
NM_001198961	1504	1177	4603	5213	4435	1208
NM_001007098	1234	1199	2018	1976	1705	833
NM_018281	1504	1177	4603	5213	4435	1208
NM_001007250	934	857	1275	1688	1836	842
NM_001199082	34	0	54	187	10	9
NM_001199080	34	0	54	187	10	9
NM_006671	5	44	7	19	36	37
NM_001199081	34	0	54	186	10	9
NM_153703	34	0	54	187	10	9
NM_001007099	934	857	1275	1688	1836	842
NM_001007100	934	857	1275	1688	1836	842
NR_109858	5	44	7	19	36	37
NM_001287595	5	44	7	19	36	37
NM_001287596	3	42	6	15	8	4
NM_001287597	5	44	7	19	36	37
